기간,계,y0_4,y5_9,y10_14,y15_19,y20
2000,25477 ,7394 ,5295 ,4425 ,3969 ,4376 
2001,28962 ,8078 ,6325 ,4997 ,4396 ,5150 
2002,29351 ,7737 ,6478 ,5328 ,4351 ,5456 
2003,32499 ,7747 ,7097 ,5885 ,4824 ,6945 
2004,26994 ,6726 ,5799 ,4723 ,3914 ,5832 
2005,25300 ,6426 ,5398 ,4221 ,3628 ,5627 
2006,24354 ,6164 ,5048 ,4033 ,3513 ,5596 
2007,24615 ,6428 ,4900 ,3871 ,3568 ,5848 
2008,23319 ,6355 ,4105 ,3269 ,3243 ,6347 
2009,23920 ,6311 ,4448 ,3553 ,3384 ,6224 
2010,21768 ,5440 ,4164 ,3173 ,3051 ,5940 
2011,20617 ,5083 ,3993 ,2916 ,2921 ,5704 
2012,20177 ,4538 ,3825 ,2905 ,2847 ,6062 
2013,20126 ,4287 ,3687 ,2796 ,2957 ,6399 
2014,19477 ,4380 ,3447 ,2562 ,2795 ,6293 
2015,18176 ,3750 ,3208 ,2369 ,2648 ,6201 
2016,17777 ,3760 ,3147 ,2287 ,2389 ,6194 
2017,17083 ,3541 ,3006 ,2212 ,2149 ,6175 
