번호,발생시각,규모,깊이(km),위도,경도,위치
1200,2017.12.30 19:44,2,17,35.76 N,129.17 E,경북 경주시 남남서쪽 9km 지역
1199,2017.12.29 17:40,2.1,10,36.11 N,129.34 E,경북 포항시 북구 북북서쪽 8km 지역
1198,2017.12.27 19:42,2.3,8,36.11 N,129.36 E,경북 포항시 북구 북쪽 7km 지역
1197,2017.12.27 19:27,2.8,8,36.11 N,129.36 E,경북 포항시 북구 북쪽 7km 지역
1196,2017.12.26 4:05,2.2,7,36.14 N,129.37 E,경북 포항시 북구 북쪽 11km 지역
1195,2017.12.25 16:32,2.1,8,36.11 N,129.36 E,경북 포항시 북구 북쪽 7km 지역
1194,2017.12.25 16:19,3.5,10,36.11 N,129.36 E,경북 포항시 북구 북쪽 8km 지역
1193,2017.12.22 12:35,2.2,-,39.31 N,127.15 E,북한 함경남도 고원 남남서쪽 15km 지역
1192,2017.12.21 12:01,2,-,36.72 N,128.01 E,경북 문경시 북서쪽 21km 지역
1191,2017.12.20 19:22,2.3,18,36.09 N,125.64 E,충남 태안군 서격렬비도 남쪽 57km 해역
1190,2017.12.19 13:34,2.1,7,35.77 N,129.42 E,경북 경주시 동남동쪽 20km 지역
1189,2017.12.12 10:06,2.5,-,38.32 N,126.18 E,북한 황해북도 평산 서쪽 19km 지역
1188,2017.12.9 16:15,2.3,23,35.61 N,129.99 E,울산 동구 동북동쪽 54km 해역
1187,2017.12.9 15:40,2.8,-,41.31 N,129.11 E,북한 함경북도 길주 북북서쪽 43km 지역
1186,2017.12.9 15:13,3,16,41.32 N,129.10 E,북한 함경북도 길주 북북서쪽 45km 지역
1185,2017.12.9 2:39,2.3,9,36.10 N,129.35 E,경북 포항시 북구 북북서쪽 7km 지역
1184,2017.12.9 1:49,2.2,8,36.10 N,129.35 E,경북 포항시 북구 북북서쪽 7km 지역
1183,2017.12.5 23:40,2.7,-,41.32 N,129.13 E,북한 함경북도 길주 북북서쪽 44km 지역
1182,2017.12.5 21:19,2.1,11,36.02 N,129.45 E,경북 포항시 남구 동쪽 9km 해역
1181,2017.12.4 21:55,2.5,21,33.42 N,127.15 E,제주 서귀포시 성산 동쪽 25km 해역
1180,2017.12.3 1:13,2.1,13,36.75 N,128.82 E,경북 안동시 북북동쪽 22km 지역
1179,2017.12.2 7:45,2.5,-,41.32 N,129.20 E,북한 함경북도 길주 북북서쪽 43km 지역
1178,2017.12.1 16:23,2.7,8,33.24 N,127.32 E,제주 서귀포시 성산 동남동쪽 44km 해역
1177,2017.12.1 8:03,2.4,7,36.10 N,129.35 E,경북 포항시 북구 북북서쪽 7km 지역
1176,2017.11.26 3:13,2.9,-,36.69 N,124.65 E,충남 태안군 서격렬비도 서쪽 79km 해역
1175,2017.11.25 14:10,2.3,8,36.11 N,129.35 E,경북 포항시 북구 북쪽 7km 지역
1174,2017.11.25 12:51,2,8,36.10 N,129.35 E,경북 포항시 북구 북쪽 7km 지역
1173,2017.11.24 21:27,2.3,13,34.05 N,125.57 E,전남 신안군 흑산면 남쪽 68km 해역
1172,2017.11.24 1:17,2.3,8,36.11 N,129.35 E,경북 포항시 북구 북쪽 7km 지역
1171,2017.11.24 0:29,2.6,-,37.23 N,125.04 E,인천 옹진군 연평도 남서쪽 76km 해역
1170,2017.11.23 23:27,2.3,14,36.11 N,129.37 E,경북 포항시 북구 북쪽 8km 지역
1169,2017.11.22 22:15,2,8,36.12 N,129.35 E,경북 포항시 북구 북쪽 9km 지역
1168,2017.11.22 12:41,2.5,8,36.10 N,129.35 E,경북 포항시 북구 북북서쪽 6km 지역
1167,2017.11.21 9:53,2.4,-,36.11 N,129.33 E,경북 포항시 북구 북북서쪽 8km 지역
1166,2017.11.21 8:57,2.1,9,36.09 N,129.34 E,경북 포항시 북구 북북서쪽 5km 지역
1165,2017.11.21 5:58,2,13,36.09 N,129.35 E,경북 포항시 북구 북쪽 6km 지역
1164,2017.11.20 6:05,3.6,12,36.14 N,129.36 E,경북 포항시 북구 북쪽 11km 지역
1163,2017.11.19 23:45,3.5,9,36.12 N,129.36 E,경북 포항시 북구 북쪽 9km 지역
1162,2017.11.19 6:40,2.2,11,36.09 N,129.34 E,경북 포항시 북구 북북서쪽 6km 지역
1161,2017.11.19 5:07,2.1,8,36.12 N,129.38 E,경북 포항시 북구 북쪽 9km 지역
1160,2017.11.19 3:33,2.4,12,36.09 N,129.35 E,경북 포항시 북구 북북서쪽 6km 지역
1159,2017.11.19 1:18,2,8,36.11 N,129.34 E,경북 포항시 북구 북북서쪽 8km 지역
1158,2017.11.17 18:57,2.6,12,36.10 N,129.35 E,경북 포항시 북구 북북서쪽 6km 지역
1157,2017.11.17 8:25,2.1,11,36.12 N,129.37 E,경북 포항시 북구 북쪽 8km지역
1156,2017.11.17 1:17,2.1,11,36.08 N,129.33 E,경북 포항시 북구 북북서쪽 6km지역
1155,2017.11.16 19:05,2.4,9,36.12 N,129.36 E,경북 포항시 북구 북쪽 9km지역
1154,2017.11.16 17:32,2.2,8,36.12 N,129.36 E,경북 포항시 북구 북쪽 9km지역
1153,2017.11.16 17:31,2,8,36.11 N,129.37 E,경북 포항시 북구 북쪽 7km지역
1152,2017.11.16 16:48,2.4,12,36.12 N,129.36 E,경북 포항시 북구 북쪽 8km 지역
1151,2017.11.16 14:31,2,10,36.10 N,129.34 E,경북 포항시 북구 북북서쪽 7km 지역
1150,2017.11.16 14:04,2.3,7,36.13 N,129.37 E,경북 포항시 북구 북쪽 10km 지역
1149,2017.11.16 10:37,2.3,11,36.10 N,129.35 E,경북 포항시 북구 북북서쪽 6km 지역
1148,2017.11.16 9:47,2.1,11,36.12 N,129.37 E,경북 포항시 북구 북쪽 9km 지역
1147,2017.11.16 9:02,3.6,8,36.12 N,129.37 E,경북 포항시 북구 북쪽 8km 지역
1146,2017.11.16 5:54,2.5,10,36.09 N,129.34 E,경북 포항시 북구 북북서쪽 6km 지역
1145,2017.11.16 5:03,2,8,36.08 N,129.34 E,경북 포항시 북구 북북서쪽 5km 지역
1144,2017.11.16 2:37,2.3,8,36.14 N,129.37 E,경북 포항시 북구 북쪽 11km 지역
1143,2017.11.16 1:36,2.5,14,36.14 N,129.36 E,경북 포항시 북구 북쪽 10km 지역
1142,2017.11.16 1:23,2.1,11,36.09 N,129.35 E,경북 포항시 북구 북북서쪽 6km 지역
1141,2017.11.16 0:38,2,9,36.09 N,129.35 E,경북 포항시 북구 북북서쪽 6km 지역
1140,2017.11.16 0:21,2.4,8,36.14 N,129.35 E,경북 포항시 북구 북쪽 10km 지역
1139,2017.11.15 23:18,2.1,10,36.13 N,129.38 E,경북 포항시 북구 북쪽 10km 지역
1138,2017.11.15 23:05,2,12,36.10 N,129.36 E,경북 포항시 북구 북쪽 6km 지역
1137,2017.11.15 22:43,2.1,10,36.10 N,129.36 E,경북 포항시 북구 북쪽 7km 지역
1136,2017.11.15 22:24,2.1,7,36.14 N,129.38 E,경북 포항시 북구 북쪽 11km 지역
1135,2017.11.15 21:59,2.1,7,36.14 N,129.36 E,경북 포항시 북구 북쪽 10km 지역
1134,2017.11.15 21:35,2,11,36.11 N,129.36 E,경북 포항시 북구 북쪽 8km 지역
1133,2017.11.15 20:54,2.4,10,36.10 N,129.35 E,경북 포항시 북구 북북서쪽 7km 지역
1132,2017.11.15 18:59,2.1,9,36.11 N,129.35 E,경북 포항시 북구 북쪽 8km 지역
1131,2017.11.15 18:58,2.2,8,36.10 N,129.35 E,경북 포항시 북구 북북서쪽 7km 지역
1130,2017.11.15 18:57,2.3,8,36.11 N,129.35 E,경북 포항시 북구 북북서쪽 8km 지역
1129,2017.11.15 18:51,2,11,36.14 N,129.38 E,경북 포항시 북구 북쪽 11km 지역
1128,2017.11.15 18:48,2.1,5,36.14 N,129.38 E,경북 포항시 북구 북쪽 11km 지역
1127,2017.11.15 18:41,2.1,11,36.09 N,129.32 E,경북 포항시 북구 북서쪽 6km 지역
1126,2017.11.15 17:42,2.2,10,36.14 N,129.37 E,경북 포항시 북구 북쪽 11km 지역
1125,2017.11.15 17:11,2.8,-,36.08 N,129.31 E,경북 포항시 북구 북서쪽 7km 지역
