id,workout,computer,cellphone,sleep,sns,sns_type,video,video_contents,smoke,smoke_count,covid_smoke,drink,drink_freq,covie_drink,breakfast,color,birthyear,birthmonth,height,height_mom,height_dad,weight,shoes,gender,dating ,dating_count,number,kmu_like,kmu_entry,highsch_curri
1,60,7,3,4,0,no_use,youtube,food,no,,,yes,<5,no_change,yes,black,1995,11,170,158,168,64,260,male,yes,1,7,4,regular,nat_science
2,90,8,5,5,2.5,facebook,youtube,life,yes,5_10,no_change,yes,5_10,no_change,no,orange,1997,12,168,158,180,65,265,male,yes,3,4,4,regular,lib_arts
3,30,3,3,5,1,facebook,youtube,food,yes,10_20,no_change,yes,5_10,descreased,no,black,1999,12,171,160,172,60,260,male,yes,5,7,5,early_subject,lib_arts
4,60,12,7.5,5.5,3,instagram,facebook,music,no,,,yes,<5,descreased,yes,black,2000,1,165,173,178,48,245,female,yes,4,7,4,early_total,lib_arts
5,30,1,5,6,1,naver,youtube,food,no,,,yes,<5,no_change,no,black,1999,11,163,168,180,63,260,male,yes,1,1,4,early_total,lib_arts
6,60,1,6,6,1,instagram,youtube,music,yes,>=20,no_change,yes,10_15,descreased,yes,black,1996,7,173,158,178,65,260,male,yes,6,5,4,regular,lib_arts
7,120,6,4,6,0,no_use,youtube,sports,yes,<5,descreased,yes,<5,descreased,yes,pink,1997,8,174,162,175,72,270,male,yes,1,3,3,early_total,lib_arts
8,60,2,6,6,1,instagram,youtube,game,no,,,yes,10_15,descreased,yes,white,2002,2,175,160,161,66,280,male,yes,2,7,4,early_total,lib_arts
9,30,8,4,6,3,facebook,youtube,game,no,,,yes,5_10,descreased,no,blue,1997,5,175,165,170,70,270,male,yes,2,2,5,regular,lib_arts
10,40,6,3,6,1,kakaotalk,youtube,life,no,,,no,,,no,blue,1997,3,170,155,170,62,250,male,yes,2,7,4,early_subject,lib_arts
11,70,3,3,6.5,0,no_use,youtube,game,yes,<5,descreased,yes,<5,descreased,no,black,1997,1,185,162,178,90,270,male,no,0,7,3,regular,lib_arts
12,30,0.5,3,6.5,1.5,instagram,ott,movie,no,,,yes,5_10,descreased,no,white,2001,1,158,163,173,48,225,female,yes,3,4,5,early_subject,nat_science
13,60,1,2.5,6.5,0.1,facebook,youtube,game,no,,,yes,<5,descreased,yes,blue,1999,2,183,165,180,72,280,male,yes,1,5,4,early_total,nat_science
14,30,3,6,6.5,1,instagram,youtube,game,yes,,,yes,<5,descreased,no,black,2001,9,167,153,171,61,270,male,yes,10,7,4,regular,nat_science
15,60,2,12,7,3,instagram,youtube,music,no,,,yes,10_15,increased,no,yellow,1999,10,168,163,176,52,240,female,yes,2,4,4,regular,lib_arts
16,120,5,5,7,0,no_use,youtube,music,yes,<5,no_change,yes,>=15,no_change,yes,purple,1999,12,174,165,170,56,260,male,yes,6,4,4,regular,nat_science
17,120,5,5,7,0,no_use,youtube,music,yes,<5,no_change,yes,<5,no_change,yes,purple,1999,12,173,165,171,57,260,male,yes,6,4,4,regular,nat_science
18,0,4,5,7,0.5,instagram,youtube,game,no,,,yes,<5,no_change,yes,black,2001,4,170,162,165,92,260,male,no,0,7,4,early_subject,lib_arts
19,90,2,3,7,1,instagram,youtube,life,no,,,yes,5_10,no_change,yes,black,1999,4,173,167,162,71,270,male,yes,1,4,4,early_total,nat_science
20,60,2,3,7,2,instagram,youtube,music,no,,,yes,10_15,no_change,yes,purple,2000,2,170,160,173,65,255,male,yes,2,7,5,early_total,nat_science
21,180,10,1,7,0.5,instagram,youtube,game,no,,,yes,5_10,no_change,no,blue,1997,12,174,165,173,72,260,male,yes,1,1,4,early_total,nat_science
22,90,5,3,7,2,facebook,youtube,life,no,,,yes,<5,no_change,yes,red,1997,3,176,160,170,64,260,male,yes,10,1,4,regular,nat_science
23,90,5,3,7,2,facebook,youtube,life,no,,,yes,<5,no_change,yes,red,1997,3,176,160,170,64,260,male,yes,10,1,4,regular,nat_science
24,30,8,3,7,0,no_use,youtube,music,yes,5_10,increased,yes,<5,descreased,yes,black,1996,6,171,154,174,60,270,male,yes,8,7,4,regular,nat_science
25,100,4,2,7,1,facebook,facebook,game,yes,5_10,no_change,yes,<5,descreased,no,blue,1998,4,170,170,170,60,250,male,yes,3,7,5,early_subject,lib_arts
