cust_id,총구매액,구매건수,평균구매액,최대구매액,구매상품종류1,내점일수,구매주기,봄-구매비율,여름-구매비율,가을-구매비율,겨울-구매비율,환불금액,환불건수,내점당구매액,내점당구매건수,주구매상품,주구매지점,구매 추세 기울기,화장품구매주기,식료품구매액비율,평균식료품구매액분위,고가상품구매율,베스트셀러구매비율,환불비율,스타킹구매건수,고객등급,평일방문비율,평균대비구매비중,주환불상품,남성포함상품구매건수,여성키워드상품구매건수,다양한 매장 방문,가격선호도,라이프 스타일(평균),라이프 스타일(건수),주구매 요일,선호방문계절,선호방문월,행사상품구매수,저가상품구매율,요일 간 구매건수 편차,충동지수,남성용품구매건수,여성용품구매건수,하루 최고 구매 건수,만족도 떨어지는 제품 총 구입금액,만족도 떨어지는 제품 총 구매건수,가성비 제품 총 구입금액,휴면일수,취미용품 구매비율,아동용품 구매건수,명절식품비용,발렌타인,화이트,단독상품군구매율,구매액표준편차,중복구매배수,의류_거래율(의류+식품+생활잡화),패션_대비_남성상품_거래율,패션_대비_여성상품_거래율,전체방문_중_환불방문(표준화),월_재방문율,시즌 마감 방문비율,상반기 구매비율,구매 추세,주구매지점재방문률,내점시마다 구매액의 일관성
0,68282840,74,922741,11264000,35,19,17,0.094594595,0.391891892,0.378378378,0.135135135,6860000,3,3593833.684,3.894736842,기타,강남점,0.97,46,0.025217756,2,0.24,0.513513514,0.040540541,,3등급고객,0.472972973,47.18187067,디자이너부틱,1,9,2,2,화장품,식품,토,fall,10,5,0.43,0.337837838,0.052631579,2,7,10,17829000,11,62662040,7,0.056338028,0,0,0,0,0.067567568,2019924.798,2.114285714,0.311111111,0.192307692,0.346153846,1.241951102,0.636363636,0.684210526,0.175675676,0.648648649,94.59,1.96701E+13
1,2136000,3,712000,2136000,2,2,1,0,0,1,0,300000,1,1068000,1.5,스포츠,잠실점,0.07,,0,,0.33,0,0.333333333,,신규고객,1,1.475926832,아웃도아,,,1,2,의류,예체능,목,fall,10,,0.33,0.666666667,0.5,0,0,2,,0,2136000,67,0.5,0,0,0,0,0.333333333,1269185.566,1.5,1,1,0,4.984455876,0,1.5,0,1,66.67,5.89824E+11
2,3197000,4,799250,1639000,1,2,1,0,0,0,1,,,1598500,2,기타,관악점,-0.15,,0,,0,0,0,,신규고객,1,2.20905341,,2,,1,2,남성의류,기타,월,fall,1,,0.5,0.5,0.5,0,0,2,,0,,355,0,0,0,0,0,0,847425.5621,4,0,0,0,-0.485358794,0,0,1,-1,75,13225000000
3,16077620,44,365400,4935000,24,18,16,0.590909091,0.159090909,0.113636364,0.136363636,,,893201.1111,2.444444444,기타,광주점,-0.38,,0.237316842,4,0.07,0.545454545,0,2,3등급고객,0.681818182,11.10926534,,,,1,1,생활용품,식품,화,spring,3,,0.5,0.181818182,0.055555556,0,3,8,4654000,2,9063320,17,0,2,131560,0,0,0.113636364,991730.2502,1.833333333,0.107142857,0,1,-0.485358794,0.727272727,0.833333333,0.75,-0.5,97.73,2.29819E+12
4,29050000,3,9683333,24000000,2,2,85,0.333333333,0,0.666666667,0,,,14525000,1.5,보석,본  점,0.05,0,0,,1,0.333333333,0,,수면고객,1,20.07288131,,,1,1,4,명품,기타,수,fall,11,,0,0.666666667,0.5,0,1,2,,0,2050000,47,0,0,0,0,0,1,12407692.51,1.5,0,0,1,-0.485358794,0,0.5,0.333333333,0.333333333,66.67,1.55626E+14
5,11379000,5,2275800,9552000,4,3,42,0.4,0,0,0.6,462000,1,3793000,1.666666667,디자이너,일산점,-0.14,,0,,0.6,0.8,0.2,,수면고객,0.8,7.862627072,디자이너부틱,,1,2,3,명품,명품,금,fall,1,,0.2,0.6,0.333333333,0,2,3,9488000,3,9579000,226,0,0,0,0,0,0.4,4152243.514,1.25,0.5,0,0,3.161184319,0,0,1,-1,40,2.03715E+13
6,10056000,12,838000,7612000,6,5,42,0,0.166666667,0,0.833333333,4582000,3,2011200,2.4,시티웨어,강남점,-0.36,,0,,0.5,0.416666667,0.25,,수면고객,0.666666667,6.948464526,수입ACC,,1,1,2,의류,의류,토,fall,1,,0.33,0.333333333,0.2,0,1,4,7040000,6,7040000,150,0,2,0,0,0,0.25,2546580.595,2,0.833333333,0.333333333,0.111111111,3.890492942,0,0.6,0.833333333,-0.666666667,91.67,1.10951E+13
7,514570080,166,3099820,27104000,76,63,5,0.259036145,0.331325301,0.234939759,0.174698795,29524000,4,8167779.048,2.634920635,명품,본  점,0.11,22,0.033212502,5,0.53,0.355421687,0.024096386,,1등급고객,0.777108434,355.5560806,명품잡화,,31,2,3,가전,명품,금,fall,6,1,0.11,0.240963855,0.015873016,9,24,12,,0,218428430,5,0.067901235,5,3312000,0,0,0.036144578,5275327.75,2.184210526,0.293103448,0.149425287,0.344827586,0.209220847,1,0.73015873,0.572289157,-0.144578313,69.28,1.0171E+14
8,688243360,107,6432181,173088000,53,18,15,0.205607477,0.420560748,0.074766355,0.299065421,,,38235742.22,5.944444444,기타,본  점,-1.18,42,0.00223915,2,0.29,0.38317757,0,1,2.5등급고객,0.588785047,475.5603194,,1,8,5,4,명품,의류,화,summer,7,2,0.34,0.224299065,0.055555556,3,15,14,304627000,6,525002660,79,0.028037383,9,0,0,0,0.08411215,20429435.18,2.018867925,0.489795918,0.15625,0.40625,-0.485358794,0.636363636,3.611111111,0.607476636,-0.214953271,60.75,2.23531E+15
9,26640850,12,2220071,13728000,9,1,0,0,0,0,1,,,26640850,12,농산물,대전점,-0.46,,0.011583714,1,0.25,0.666666667,0,,2.5등급고객,1,18.40821412,,1,,1,3,의류,식품,목,fall,1,,0.67,1,1,1,0,12,,0,14037850,354,0,0,0,0,0,0.25,4988112.105,1.333333333,0.222222222,0.5,0,-0.485358794,0,0,1,-1,91.67,0
