"","CUS_ID","T_USAGE","PAGEVIEWS","GENDER","SCHOOL","LOCATION"
"1",2,836048,25498,"여자","대졸","서울"
"2",4,275572,12831,"남자","고졸","그외"
"3",8,101640,5871,"남자","대졸","그외"
"4",10,1222047,43544,"남자","대졸","서울"
"5",11,90562,5582,"남자","대학원졸","그외"
"6",14,644274,21572,"여자","고졸","서울"
"7",15,595743,25967,"여자","고졸","그외"
"8",17,172435,7284,"남자","고졸","그외"
"9",19,329314,12087,"남자","대졸","그외"
"10",23,489285,23935,"여자","대졸","그외"
"11",24,421206,12917,"남자","고졸","서울"
"12",25,385731,36266,"남자","대졸","그외"
"13",26,530405,16921,"남자","고졸","그외"
"14",27,546656,21490,"여자","대졸","서울"
"15",31,631398,33939,"남자","대졸","그외"
"16",32,1181614,36883,"여자","대졸","서울"
"17",33,394670,17793,"남자","고졸","서울"
"18",34,609035,16023,"여자","대졸","서울"
"19",35,310133,8351,"여자","대졸","서울"
"20",36,168645,7841,"여자","고졸","그외"
"21",39,411570,17924,"여자","대졸","서울"
"22",41,191321,6525,"남자","고졸","그외"
"23",49,687620,26658,"남자","대졸","서울"
"24",50,342612,11182,"남자","대졸","그외"
"25",52,102939,5024,"남자","대학원졸","그외"
"26",54,1075841,31985,"남자","고졸","서울"
"27",55,144488,5308,"남자","대졸","그외"
"28",56,194720,9665,"여자","대졸","그외"
"29",57,476122,30796,"여자","고졸","서울"
"30",59,286772,13057,"여자","대졸","그외"
"31",60,415150,16451,"남자","고졸","서울"
"32",62,180287,8566,"여자","대졸","그외"
"33",68,135675,8546,"남자","고졸","그외"
"34",69,423143,23761,"남자","대졸","서울"
"35",71,183998,6951,"남자","대졸","그외"
"36",78,530513,26266,"남자","대졸","그외"
"37",79,703388,20264,"남자","대학원졸","서울"
"38",80,227846,13831,"남자","대졸","그외"
"39",84,257821,9741,"여자","고졸","서울"
"40",85,220602,14622,"남자","고졸","서울"
"41",87,271052,8405,"남자","대졸","그외"
"42",88,491763,42929,"남자","대학원졸","서울"
"43",90,643237,18429,"남자","대졸","서울"
"44",92,681171,23143,"남자","고졸","서울"
"45",93,682560,33181,"남자","고졸","서울"
